sku,name,brand,category,price,cost_price,original_price,stock_quantity,reorder_threshold,image_url,tagline,description,features,specs,gst_rate_pct,hsn_sac_code,offer_code,offer_discount_pct,offer_badge
RZP-POS-V3-PRO,Razorpay Smart POS Terminal V3 Pro,Razorpay Hardware,Payment Terminals,14999.0,9500.0,17999.0,85,15,https://images.unsplash.com/photo-1556742049-0a67c5574f73?w=600,Next-gen all-in-one Android POS terminal with dual displays and 4G eSIM.,Enterprise Android 13 POS terminal with 80mm/s thermal receipt printer NFC and Dynamic QR.,"[""NFC & Chip & PIN"", ""80mm/s Thermal Printer"", ""5.5\"" HD IPS Screen""]","[{""key"": ""OS"", ""value"": ""Android 13""}, {""key"": ""Connectivity"", ""value"": ""4G + Wi-Fi 6""}]",18.0,8470,RAZOR2026,10.0,BESTSELLER
RZP-POS-MINI-X,Razorpay POS Mini Card Reader X,Razorpay Hardware,Payment Terminals,4999.0,2800.0,6499.0,140,25,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=600,Ultra-portable Bluetooth mPOS reader for mobile payments.,Pocket-sized mPOS reader with PIN pad and EMV L1/L2 certification.,"[""Bluetooth 5.0 Low Energy"", ""EMV Chip & Contactless"", ""OLED Display""]","[{""key"": ""Battery"", ""value"": ""1200mAh""}, {""key"": ""Weight"", ""value"": ""145g""}]",18.0,8470,FESTIVE15,15.0,FESTIVE SALE
RZP-POS-COUNTER-DUAL,Razorpay Dual-Screen Countertop POS,Razorpay Hardware,Payment Terminals,29999.0,19500.0,34999.0,42,10,https://images.unsplash.com/photo-1556740758-90de374c12ad?w=600,Dual-screen billing terminal with 15.6" merchant screen and 10.1" customer display.,Premium heavy-duty retail billing station with aluminum alloy stand.,"[""15.6\"" FHD + 10.1\"" Customer Display"", ""Heavy-duty Aluminium Stand"", ""Auto-cut Thermal Printer""]","[{""key"": ""Processor"", ""value"": ""Octa-core 2.4GHz""}, {""key"": ""RAM"", ""value"": ""8GB DDR4""}]",18.0,8470,RAZOR2026,10.0,ENTERPRISE
RZP-POS-KIOSK-SELF,Razorpay Self-Checkout Floor Kiosk 21",Razorpay Hardware,Payment Terminals,68999.0,44000.0,79999.0,18,5,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=600,Interactive 21.5" FHD touchscreen self-checkout kiosk.,Complete floor-standing self-service kiosk with integrated 2D barcode scanner.,"[""21.5\"" Portrait FHD Touchscreen"", ""Integrated 2D Barcode Reader"", ""Heavy Duty Steel Enclosure""]","[{""key"": ""Display"", ""value"": ""21.5\"" FHD IPS""}, {""key"": ""OS"", ""value"": ""Android 12 Enterprise""}]",18.0,8470,RAZOR2026,12.0,SELF-SERVICE
VERIFONE-P400-PINPAD,VeriFone Engage P400 Color PIN Pad,VeriFone,Payment Terminals,12499.0,8200.0,14999.0,65,12,https://images.unsplash.com/photo-1580048915913-4f8f5cb481c4?w=600,Ergonomic color touchscreen PIN pad with advanced encryption.,PCI PTS 5.X approved counter-top PIN pad for bank gateway compliance.,"[""3.5\"" HVGA Color Screen"", ""PCI PTS 5.X Security"", ""Corning Gorilla Glass""]","[{""key"": ""Security"", ""value"": ""PCI PTS 5.X""}, {""key"": ""Display"", ""value"": ""3.5\"" Color Touch""}]",18.0,8470,RAZOR2026,10.0,BANK COMPLIANT
PAX-A920-SMARTPOS,PAX A920 Pro Mobile Smart POS,PAX Global,Payment Terminals,16999.0,11000.0,19999.0,55,10,https://images.unsplash.com/photo-1559526324-4b87b5e36e44?w=600,Handheld Android terminal with high-speed Japanese Seiko printer.,Ergonomic high-performance mobile terminal for restaurants and logistics.,"[""5.5\"" IPS Touchscreen"", ""Dual 5MP + 0.3MP Cameras"", ""Seiko Fast Printer""]","[{""key"": ""OS"", ""value"": ""PayDroid based on Android""}, {""key"": ""Battery"", ""value"": ""5250mAh Li-ion""}]",18.0,8470,RAZOR2026,10.0,PRO HARDWARE
SUNMI-V2S-PORTABLE,SUNMI V2s Handheld POS Terminal,SUNMI,Payment Terminals,11999.0,7600.0,13999.0,90,20,https://images.unsplash.com/photo-1556742111-a301076d9d18?w=600,Lightweight Android mobile terminal with 58mm label printing.,Versatile mobile receipt and label printer terminal for queue busting.,"[""58mm Receipt & Label Dual Printing"", ""Drop-proof to 1.2m"", ""NFC Enabled""]","[{""key"": ""OS"", ""value"": ""Sunmi OS Android 11""}, {""key"": ""RAM/ROM"", ""value"": ""2GB + 16GB""}]",18.0,8470,FESTIVE15,15.0,PORTABLE
INGENICO-LANE-5000,Ingenico Lane/5000 Modular POS Terminal,Ingenico,Payment Terminals,18999.0,12500.0,22499.0,35,8,https://images.unsplash.com/photo-1556742208-999815fca738?w=600,Modular retail pin pad for high-volume hypermarket checkout lanes.,Heavy-duty lane terminal supporting signature capture and digital advertising.,"[""3.5\"" Color Touchscreen"", ""PCI-PTS 5.x Certified"", ""Integrated Signature Capture""]","[{""key"": ""Processor"", ""value"": ""Cortex A5""}, {""key"": ""Memory"", ""value"": ""512MB Flash + 512MB RAM""}]",18.0,8470,RAZOR2026,10.0,RETAIL HEAVY
CASTLES-SATURN-1000,Castles Saturn 1000 Android POS,Castles Technology,Payment Terminals,15499.0,9900.0,18499.0,48,10,https://images.unsplash.com/photo-1556742502-ec7c0e9f34b1?w=600,Ruggedized Android smart POS with optional barcode reader.,Multi-application smart terminal for delivery agents and pop-up stores.,"[""5.5\"" HD Display"", ""Front & Rear Camera"", ""4G LTE & GPS""]","[{""key"": ""Battery"", ""value"": ""6000mAh""}, {""key"": ""OS"", ""value"": ""Android 10 Safe-OS""}]",18.0,8470,RAZOR2026,12.0,RUGGED
RZP-QR-STAND-ACTIVE,Razorpay Dynamic Active Display QR Stand,Razorpay Hardware,Payment Terminals,3499.0,1900.0,4499.0,210,30,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=600,Smart e-ink dynamic QR stand with live payment amount display.,Countertop e-ink QR stand displaying dynamic amount-locked UPI codes.,"[""E-ink Daylight Visible Screen"", ""Rechargeable 3-month Battery"", ""Direct Wi-Fi Sync""]","[{""key"": ""Display"", ""value"": ""2.9\"" E-Paper Display""}, {""key"": ""Connectivity"", ""value"": ""Wi-Fi 2.4GHz + BLE""}]",18.0,8470,RAZOR2026,20.0,SMART STAND
